SquareFeet;Bedrooms;Bathrooms;Parking garage;Neighborhood;YearBuilt;Price
2992;4;1;3;Urban;2000;3,74778E+16
2176;3;3;3;Suburb;1954;1,6517E+16
2760;4;3;1;Urban;2004;2,91116E+13
2150;5;1;2;Urban;1991;2,34502E+16
1192;5;3;1;Urban;1983;1,65015E+16
1626;3;2;1;Rural;1990;2,09114E+14
2797;2;1;1;Urban;2018;2,88751E+16
1529;5;2;3;Rural;1952;2,12829E+16
2033;3;3;2;Suburb;1981;2,35625E+16
1091;5;2;2;Rural;1993;8,38874E+15
1138;4;3;2;Urban;2009;6,28382E+16
1480;3;1;2;Rural;2014;1,11727E+16
1448;3;1;2;Urban;1951;9,67959E+15
2356;4;1;1;Rural;1994;1,63111E+15
1868;3;3;3;Suburb;1957;2,51812E+16
1339;4;2;1;Rural;2007;2,37315E+15
2984;2;3;2;Urban;2000;2,92308E+16
2075;4;2;3;Rural;2005;2,5887E+16
2730;2;3;3;Urban;2016;3,76749E+16
1465;3;2;3;Urban;1973;1,99188E+16
1717;4;1;2;Suburb;1972;1,47872E+15
1798;3;2;2;Urban;1971;1,98192E+15
1474;2;2;1;Urban;2015;1,02471E+16
1400;5;1;2;Suburb;1962;1,2306E+16
2462;5;3;1;Urban;1958;2,45379E+15
2901;5;2;2;Rural;1972;2,05234E+16
1604;5;3;3;Suburb;1974;1,95112E+15
1931;5;2;3;Suburb;1996;1,35975E+14
1996;2;2;3;Urban;2008;2,12851E+15
1921;5;3;3;Urban;2001;2,46193E+16
1820;5;2;1;Suburb;1990;2,37569E+15
1656;3;2;1;Rural;1966;1,96556E+16
1597;4;3;3;Urban;1989;2,13594E+15
2532;4;3;2;Rural;1977;3,54171E+15
2176;4;3;2;Urban;1990;3,12963E+16
1513;4;3;3;Urban;1955;1,67836E+16
2526;2;2;2;Suburb;1971;2,30618E+16
2877;4;1;2;Suburb;1950;4,0852E+15
2924;3;3;1;Rural;1976;3,08518E+15
2795;2;3;2;Suburb;1964;2,76691E+16
2699;5;2;3;Rural;1993;3,56124E+16
2029;3;1;2;Rural;1980;2,49925E+16
1499;3;1;3;Suburb;2018;2,27468E+16
2684;5;3;1;Rural;2009;3,15919E+15
1716;5;3;2;Suburb;1993;2,7138E+15
2141;3;1;3;Rural;1990;2,07821E+15
2508;2;1;2;Rural;2005;2,28679E+15
1600;5;3;1;Urban;2012;1,40317E+15
1665;4;1;3;Suburb;1978;2,9121E+16
2974;3;2;1;Suburb;1963;2,68269E+15
2702;3;1;3;Suburb;1956;2,62498E+16
1467;5;1;3;Suburb;1952;1,93066E+16
1160;5;1;3;Urban;2002;1,7575E+16
1269;4;1;2;Urban;1974;2,23402E+16
2079;4;2;3;Urban;1981;1,95825E+16
1227;4;2;3;Urban;2004;3,94581E+15
1848;4;1;2;Suburb;1965;2,33654E+16
1148;3;1;3;Rural;1968;2,49265E+16
2069;5;1;1;Suburb;2021;2,43867E+16
2167;2;2;3;Suburb;1991;2,21443E+16
2773;5;3;2;Urban;1951;3,98377E+15
2807;5;1;1;Urban;1955;3,28324E+15
1631;4;3;1;Suburb;1975;1,46511E+15
2363;4;2;3;Suburb;2017;1,8176E+16
1412;3;1;1;Rural;1991;4,28797E+15
2755;4;2;1;Urban;1999;2,56201E+16
1519;3;1;3;Rural;1983;1,89676E+14
2367;5;3;1;Suburb;2012;2,8255E+15
1386;5;3;1;Urban;1953;8,94485E+15
2496;5;1;2;Suburb;1982;2,91519E+16
1274;3;1;3;Urban;2007;1,31185E+15
1352;3;3;1;Rural;2003;2,85281E+16
2089;3;2;3;Rural;1974;2,02127E+16
2102;4;1;3;Urban;1975;1,303E+16
1597;2;2;1;Rural;1982;2,48003E+14
2659;4;1;1;Rural;2020;3,21026E+16
2225;2;1;2;Suburb;2015;3,07019E+16
2685;4;1;3;Urban;2015;2,74184E+15
1557;5;3;1;Suburb;1977;2,98457E+15
1112;3;3;3;Rural;1972;1,53614E+16
2114;4;1;1;Suburb;1953;2,00278E+14
1140;3;2;1;Rural;1992;1,59183E+16
2312;4;1;1;Rural;1958;2,05125E+16
2924;5;2;3;Suburb;1982;2,91717E+16
1729;3;1;3;Suburb;1962;1,20897E+16
1588;5;2;2;Urban;2020;1,69375E+15
1410;2;2;1;Urban;1956;2,01471E+16
1376;3;1;2;Suburb;1999;1,37368E+16
2407;4;1;3;Rural;1989;2,91674E+16
2869;3;1;1;Rural;2002;3,35238E+15
2175;2;3;1;Urban;1987;2,57453E+16
2858;2;2;3;Suburb;1984;2,71599E+15
1750;4;1;1;Urban;1994;1,56438E+16
1626;5;3;2;Urban;1953;1,86858E+15
2342;3;1;1;Suburb;2008;3,27827E+15
2392;5;3;1;Rural;1999;3,35743E+16
2629;5;3;3;Urban;2013;3,34906E+15
1994;4;2;1;Suburb;1969;1,78166E+16
2583;3;1;2;Suburb;1957;2,72926E+15
1702;2;3;1;Suburb;1988;2,55345E+16
1461;4;1;3;Rural;2016;1,70286E+16
1011;5;2;1;Suburb;2021;1,80949E+14
2179;2;3;3;Urban;1963;1,91964E+16
2707;5;1;1;Urban;1970;2,48318E+16
1476;3;2;2;Suburb;1986;1,21002E+16
1938;5;2;2;Rural;2016;1,42006E+15
1400;2;3;3;Rural;1975;1,16322E+16
1807;3;2;2;Suburb;1981;1,95997E+16
1176;4;3;1;Rural;1952;1,46247E+16
2364;5;2;3;Suburb;2005;2,26644E+15
1056;3;1;2;Rural;1973;1,04233E+16
2878;3;1;2;Rural;2009;2,237E+16
2875;4;2;2;Suburb;1965;3,6744E+16
1447;4;1;2;Urban;1974;1,52392E+16
1202;2;2;3;Urban;2013;1,33822E+16
2720;3;2;2;Urban;1988;2,08464E+16
2656;3;2;1;Urban;1997;3,24572E+14
1737;2;2;3;Urban;2017;2,0442E+16
1201;5;3;1;Urban;1997;1,42823E+16
2353;3;1;2;Suburb;1954;2,10403E+16
1362;3;1;2;Rural;2010;1,76569E+16
1891;5;1;3;Urban;2001;1,68369E+16
1453;4;3;2;Urban;2004;2,33017E+15
1355;4;2;2;Rural;1953;2,30948E+16
1215;4;3;2;Suburb;2014;1,02034E+16
1971;2;1;3;Suburb;2016;2,30574E+15
1554;5;2;1;Suburb;1989;1,39815E+16
1886;4;2;2;Rural;1960;1,26052E+16
1022;2;2;3;Suburb;2019;8,71263E+15
1154;5;1;2;Urban;1969;1,30957E+16
2209;4;1;2;Urban;1969;1,8711E+16
1248;3;3;1;Suburb;1989;1,61965E+16
1748;3;1;2;Rural;1983;2,08943E+13
1804;4;2;3;Suburb;1956;2,84507E+16
1133;4;2;1;Rural;1996;1,69963E+16
1320;2;1;2;Urban;1997;2,08632E+16
1389;3;2;1;Urban;1978;1,50581E+16
1433;5;2;2;Suburb;1996;1,99024E+15
2045;4;3;1;Rural;1951;2,53075E+16
1872;5;2;3;Urban;1953;1,7764E+16
2623;4;2;3;Rural;2004;2,97268E+16
2688;3;1;3;Urban;1970;3,21936E+15
2148;4;1;1;Suburb;2016;2,44428E+15
2102;5;2;3;Suburb;1990;2,46916E+16
1857;3;3;2;Urban;1999;1,6903E+16
2991;4;3;2;Urban;1975;4,29035E+16
1050;3;2;2;Rural;1970;9,22868E+14
2751;2;2;1;Urban;1969;2,74619E+15
1175;5;2;1;Suburb;2001;2,18464E+15
1869;4;2;1;Urban;1996;2,90269E+15
1252;4;3;1;Suburb;2020;1,42173E+16
1965;4;3;3;Rural;1972;2,22155E+14
2269;5;3;1;Urban;1966;3,15505E+16
1738;2;3;3;Suburb;1980;2,462E+16
2129;5;2;3;Suburb;2021;2,62209E+15
2216;4;3;3;Suburb;1990;2,83739E+15
2339;5;3;2;Rural;1957;2,80411E+16
1301;4;3;3;Suburb;1972;4,39516E+14
1547;5;1;3;Rural;1977;2,25945E+16
2977;3;2;3;Rural;2020;2,52955E+15
1715;5;3;1;Urban;2000;1,54948E+16
2957;4;2;2;Rural;2002;3,09477E+16
1778;4;2;2;Urban;1990;1,77635E+16
1267;5;2;1;Urban;1976;1,28812E+16
2193;5;1;1;Urban;1996;3,524E+15
2009;3;1;3;Suburb;1964;2,74825E+15
1550;2;3;1;Urban;1953;1,95218E+16
2478;2;2;3;Suburb;1985;3,14844E+15
2674;3;1;1;Urban;1955;3,73222E+16
2315;2;2;2;Urban;1971;2,03021E+16
2587;2;3;3;Suburb;2017;2,56361E+16
2822;4;2;1;Urban;2009;3,31255E+15
2824;4;1;1;Urban;1975;3,0973E+16
2164;4;2;2;Suburb;1960;2,2272E+16
2169;5;3;2;Suburb;1999;3,02108E+15
2448;5;3;2;Suburb;1957;2,67011E+16
1313;2;1;3;Urban;2017;8,14094E+15
1183;5;2;2;Rural;1994;2,19337E+15
2687;4;1;2;Suburb;2020;3,69159E+15
1712;5;1;1;Urban;1994;3,01091E+15
1127;2;1;1;Rural;2014;2,2407E+16
2310;4;1;1;Rural;1965;2,40791E+16
2846;2;1;3;Urban;1995;2,81344E+15
2276;5;1;1;Rural;1952;1,62094E+15
2801;3;2;1;Suburb;2009;2,53555E+15
1699;3;1;3;Urban;1992;2,08065E+16
1385;4;1;2;Urban;1982;8,61307E+15
2253;2;2;1;Suburb;2020;2,70573E+15
1270;3;3;2;Rural;1964;1,73085E+16
2794;3;2;1;Urban;2021;2,64305E+16
1810;4;2;2;Urban;1974;2,38026E+16
1414;4;3;3;Suburb;1950;2,031E+16
1197;2;2;2;Urban;2013;8,34563E+14
2346;3;3;2;Urban;1965;2,36904E+15
2079;2;1;3;Urban;2005;2,35621E+16
1830;2;2;2;Suburb;1961;1,51019E+16
2226;4;3;3;Urban;1957;1,08652E+16
2806;2;1;2;Suburb;2021;3,04311E+16
2644;5;3;3;Urban;2015;2,57289E+16
1627;2;3;2;Rural;1990;1,00328E+16
1603;3;3;2;Rural;2009;1,31676E+15
2161;2;2;1;Urban;1969;1,58223E+16
2445;5;1;1;Urban;2007;2,56264E+14
2838;5;3;3;Suburb;2001;3,99255E+15
2080;3;1;3;Rural;1999;2,76595E+16
2585;3;3;3;Rural;1977;2,97656E+16
2009;2;3;1;Urban;2015;1,98205E+16
1070;5;2;3;Urban;2016;1,52212E+16
1910;5;1;2;Suburb;1986;2,56627E+16
2937;2;3;3;Suburb;2013;3,70631E+15
1593;3;3;3;Suburb;1978;1,45119E+16
2395;5;1;2;Urban;2005;1,69669E+15
2640;2;3;3;Urban;1956;3,80251E+16
1599;3;2;2;Suburb;1993;2,45178E+16
1513;2;2;2;Rural;2008;1,67451E+16
2895;3;2;2;Urban;1991;2,85803E+16
1083;3;3;3;Urban;1967;1,04755E+15
1993;5;2;1;Urban;1994;1,99639E+15
2066;4;3;3;Suburb;2007;1,53972E+16
2689;5;2;1;Urban;1975;2,86286E+15
1838;2;1;1;Urban;1962;1,89782E+16
2957;3;2;2;Rural;1985;2,59533E+16
1605;5;1;2;Suburb;2015;1,89657E+16
1809;3;2;1;Suburb;1982;2,53079E+15
1132;5;3;1;Suburb;1977;1,18775E+15
2418;2;1;3;Suburb;1995;3,11281E+16
2088;2;1;1;Urban;1972;2,40738E+15
1289;2;3;1;Suburb;1972;1,61976E+16
1375;5;1;1;Urban;1993;1,19157E+16
1768;4;1;1;Urban;1988;2,73778E+16
1466;2;3;3;Suburb;2002;1,82806E+15
2921;5;1;1;Suburb;1972;3,43869E+16
2236;4;1;3;Urban;2002;2,97169E+14
2171;5;3;2;Rural;2021;2,04269E+16
2596;5;1;1;Rural;1972;3,29188E+15
1470;2;3;2;Suburb;1998;1,44083E+16
1148;4;1;2;Urban;1990;1,16749E+15
1087;5;3;2;Urban;2000;1,48126E+16
2347;5;2;1;Suburb;1977;2,40966E+16
2918;5;1;2;Rural;1964;2,88801E+15
1395;5;1;1;Rural;1970;1,33861E+16
1789;2;2;3;Rural;1955;1,86121E+16
2427;5;2;2;Suburb;1957;2,07012E+16
2105;4;3;3;Suburb;1982;2,02262E+16
2664;3;1;1;Rural;1970;3,05801E+15
2309;4;1;3;Suburb;2017;2,03912E+15
2405;5;3;3;Urban;1958;2,96391E+15
1864;5;2;1;Rural;1977;3,00808E+15
2815;4;1;2;Suburb;1987;3,87644E+16
2293;3;2;1;Urban;1974;1,6722E+16
2315;2;3;1;Urban;1970;2,63918E+16
2476;3;1;2;Rural;1969;2,14205E+16
2738;3;3;1;Urban;1965;2,41609E+16
1023;3;3;3;Urban;1951;1,30207E+16
1955;4;1;2;Suburb;1996;2,71303E+16
2886;3;2;1;Urban;1985;3,59286E+15
1310;2;2;2;Rural;1986;6,67509E+15
2484;5;3;3;Rural;1960;2,96823E+15
2231;4;3;2;Suburb;1956;2,36835E+15
2815;4;2;3;Suburb;1990;2,27231E+16
2740;3;3;3;Suburb;1956;3,31764E+16
1663;5;3;3;Rural;2002;1,25754E+16
1437;5;1;1;Suburb;2012;1,70091E+13
2561;5;3;1;Rural;2009;3,32073E+15
1705;4;3;2;Rural;1990;2,04778E+16
2359;2;1;1;Suburb;1982;2,4063E+16
1421;5;2;2;Urban;1957;1,9975E+16
2773;4;1;1;Suburb;2021;3,19878E+16
1320;3;2;2;Rural;1950;1,98123E+16
2520;5;1;2;Urban;2010;2,92442E+16
1586;3;3;3;Suburb;1981;2,27063E+16
1946;5;2;1;Urban;1952;2,69225E+14
2186;3;1;2;Rural;2018;2,83613E+16
2834;4;1;2;Suburb;1993;2,06891E+16
2564;3;2;1;Suburb;1963;2,48152E+15
2188;4;2;1;Urban;1999;2,92505E+15
1848;3;2;1;Suburb;1973;2,33173E+16
2721;3;2;1;Urban;2002;3,03889E+16
2589;3;1;3;Urban;1973;3,07949E+16
2318;5;2;2;Rural;1958;3,04687E+15
1041;2;2;3;Suburb;1993;1,15333E+15
2947;2;2;3;Urban;1989;2,36639E+16
2308;5;3;1;Urban;1964;3,71475E+14
1938;3;2;2;Urban;1979;2,04419E+16
1386;3;3;1;Urban;1991;1,73768E+16
2161;5;2;2;Rural;1962;1,43993E+16
2210;4;2;2;Suburb;2009;2,81001E+16
1909;4;1;1;Suburb;1970;1,71448E+15
1715;5;1;3;Rural;1950;1,80778E+16
1430;2;1;1;Suburb;2007;1,48549E+16
1553;4;1;3;Rural;1965;2,45658E+16
2885;5;2;3;Suburb;1978;4,1135E+16
2439;4;3;3;Urban;1984;2,91954E+15
1799;5;2;2;Rural;2006;2,41605E+15
1425;4;2;2;Suburb;1976;1,8404E+16
2439;4;2;1;Urban;2009;2,48537E+16
1025;5;1;1;Rural;2007;4,76989E+15
2394;2;2;2;Urban;1956;3,27226E+16
1384;2;2;3;Rural;1997;1,73293E+16
1055;4;3;3;Rural;1989;1,49046E+15
2276;4;1;3;Rural;1959;3,11094E+16
1633;2;3;2;Urban;1971;1,30997E+16
1105;5;3;3;Suburb;1982;1,02801E+16
2153;3;2;3;Suburb;2012;2,42066E+15
1848;4;3;1;Rural;1970;2,46328E+16
1669;3;3;1;Rural;1987;2,17092E+16
1375;4;2;1;Suburb;1998;2,08116E+15
1742;2;1;2;Suburb;1981;2,4878E+15
1966;5;2;3;Suburb;2019;1,97251E+16
1307;4;1;2;Rural;1982;2,88641E+15
1090;3;3;3;Suburb;1979;1,0033E+16
2416;2;1;1;Suburb;1976;2,73677E+15
2557;4;2;2;Urban;1975;2,82838E+15
1801;5;1;2;Rural;2005;1,99745E+15
1109;4;2;1;Suburb;2012;2,38162E+15
2584;5;2;3;Urban;2008;3,63748E+16
2664;5;2;2;Urban;1977;3,11468E+15
1584;2;1;1;Rural;1953;1,80684E+15
1339;4;3;3;Suburb;1970;5,46703E+16
2588;5;3;1;Suburb;1961;2,60877E+15
1978;2;3;3;Rural;1950;2,06145E+15
1355;4;1;3;Urban;2002;1,38334E+15
2915;5;1;2;Rural;2005;3,32607E+15
1167;2;1;1;Urban;1961;1,19055E+16
1556;4;1;3;Suburb;2019;1,93184E+16
2475;5;2;3;Rural;2003;2,8303E+14
1904;2;2;3;Rural;1977;2,40025E+16
1104;2;3;2;Suburb;2005;1,4464E+16
1149;4;1;3;Urban;1991;2,28805E+16
1145;2;3;3;Urban;2010;1,32818E+16
1715;4;2;2;Rural;1973;2,57993E+16
1873;4;1;3;Urban;2021;1,51685E+15
1298;5;3;2;Urban;1975;1,3159E+15
2190;4;1;3;Suburb;1996;1,76774E+15
2736;2;3;3;Urban;1971;3,89038E+15
1645;4;1;1;Suburb;1997;1,90786E+16
1722;5;3;3;Urban;1989;1,25141E+16
2071;2;1;1;Suburb;1961;1,6973E+16
1637;5;3;2;Rural;2013;2,17662E+15
1238;3;2;1;Rural;1958;1,20812E+16
2030;5;3;2;Rural;1986;2,03387E+16
1463;3;3;3;Urban;1967;1,07759E+15
1452;3;2;1;Rural;1989;2,27438E+14
1783;4;2;2;Rural;1984;2,76371E+16
1896;2;3;1;Suburb;1969;2,64561E+14
1370;4;1;3;Suburb;2010;2,32493E+16
2572;2;2;2;Rural;1961;2,88513E+14
1486;5;1;3;Rural;2010;1,61407E+15
2234;3;2;3;Urban;2008;1,45479E+15
1164;3;3;3;Urban;1993;1,01072E+16
2148;3;3;3;Urban;1986;2,37747E+16
2360;5;2;3;Urban;1988;2,95394E+16
1191;5;3;2;Suburb;2004;1,38786E+16
1729;4;1;1;Urban;1979;1,94682E+16
1213;4;3;2;Rural;2016;9,24562E+15
1573;2;3;2;Suburb;2021;2,51257E+16
2351;2;3;2;Suburb;2002;2,54237E+16
1956;3;2;1;Urban;1991;1,98572E+15
1380;5;2;3;Urban;1977;1,03013E+16
1672;5;3;3;Suburb;2004;2,78003E+15
2601;4;2;2;Rural;2014;1,859E+16
1797;4;1;3;Rural;1964;2,16325E+16
1238;2;1;2;Rural;1961;1,06307E+16
2555;2;1;2;Urban;2010;2,6834E+16
1699;4;1;1;Rural;1968;1,88694E+16
2105;4;3;3;Rural;1994;2,64452E+15
2386;5;2;3;Suburb;1987;2,70779E+15
1504;2;1;1;Urban;2016;1,82987E+16
1201;4;3;3;Rural;2016;1,3123E+16
1919;4;1;1;Rural;1994;2,01132E+16
2527;3;2;2;Urban;1961;3,19223E+14
2667;4;2;2;Rural;2021;3,06876E+16
1036;4;2;2;Suburb;1999;1,75948E+16
1643;5;1;3;Rural;1963;1,53229E+16
2612;4;1;3;Rural;1972;2,78709E+15
2624;2;1;2;Rural;1983;2,4066E+16
2996;3;3;1;Suburb;1992;3,18203E+15
2425;5;3;3;Suburb;1984;2,29811E+16
1764;2;2;3;Rural;2002;1,5666E+16
2879;3;2;3;Rural;1963;3,47795E+15
1705;3;1;3;Rural;2016;1,40016E+16
2199;4;2;1;Suburb;2015;2,56429E+16
1544;3;2;2;Suburb;2004;2,37759E+15
2593;3;3;3;Urban;1991;2,4007E+16
2490;4;2;1;Rural;1975;3,18653E+16
2224;5;1;3;Rural;2021;2,10984E+16
1539;4;3;3;Suburb;1976;1,70457E+16
2570;5;1;2;Urban;1987;3,37207E+15
2016;3;1;3;Rural;1968;1,65496E+15
2660;2;3;2;Rural;2007;4,16057E+15
1393;5;1;3;Urban;1955;1,64827E+16
1832;5;2;1;Urban;1993;3,26532E+15
2065;5;2;1;Suburb;1950;3,22178E+16
1596;5;3;3;Suburb;1979;2,10347E+16
1392;3;2;2;Rural;2000;9,19919E+15
1699;2;1;3;Urban;2012;2,20084E+16
2646;5;3;2;Urban;1978;2,4834E+13
2806;2;3;1;Suburb;1965;3,00303E+15
1440;3;1;3;Rural;1995;1,61068E+15
2860;5;1;2;Urban;1973;3,11154E+15
2640;2;1;2;Rural;1992;2,7017E+15
2529;5;3;1;Suburb;1985;2,58278E+16
1917;5;3;2;Rural;1964;1,88864E+16
1319;3;1;3;Suburb;1995;1,23095E+16
1552;5;3;3;Rural;1987;2,4264E+16
2238;2;1;1;Urban;1970;1,71491E+16
2094;2;2;3;Rural;1950;1,91963E+16
1567;3;3;3;Urban;1974;2,82505E+15
1918;4;3;2;Urban;2000;2,12628E+16
1235;4;3;2;Urban;1967;1,88736E+15
2304;3;1;2;Suburb;1953;2,09072E+16
1986;3;3;1;Urban;1994;1,6114E+15
2640;4;1;2;Rural;1972;3,07915E+15
2925;4;3;3;Suburb;1974;3,03009E+16
2910;2;3;1;Urban;1979;3,66055E+15
2185;2;3;2;Urban;1995;2,10345E+16
2214;2;3;3;Suburb;1977;2,40295E+16
2032;4;2;1;Suburb;1987;3,02894E+15
1059;3;2;2;Urban;1983;1,67547E+16
1892;5;2;3;Suburb;2007;2,17904E+15
2840;2;1;2;Urban;1993;3,14159E+15
1224;5;2;2;Urban;1985;1,97931E+16
2842;3;1;1;Urban;1982;2,95708E+16
1699;4;2;1;Suburb;2016;1,1313E+15
1581;2;1;2;Rural;2006;8,77352E+15
2828;4;3;2;Rural;1958;3,12908E+16
2310;3;3;3;Suburb;1951;2,43212E+16
1993;2;2;1;Suburb;1963;2,65122E+15
1168;3;1;1;Rural;1995;2,02091E+16
2085;3;3;1;Suburb;1973;2,62933E+15
2372;2;3;3;Rural;1990;2,8964E+15
2465;5;2;2;Urban;1978;3,58307E+15
1013;2;1;3;Suburb;1997;1,93399E+16
1163;4;3;1;Urban;1975;7,33561E+15
2443;5;1;3;Rural;1972;2,17212E+16
1756;2;1;1;Suburb;1979;1,23803E+15
2870;2;1;3;Urban;2009;2,94996E+15
2543;2;1;1;Urban;2010;2,81847E+15
2689;2;1;3;Suburb;2005;2,94928E+15
2571;2;2;3;Urban;1954;3,00173E+16
2583;4;2;3;Suburb;1955;2,99022E+16
2620;3;3;1;Urban;2014;2,81661E+16
2051;4;1;3;Urban;1969;2,03467E+16
2731;3;1;1;Urban;1976;2,22229E+16
1445;2;3;2;Rural;1982;1,59195E+15
2231;4;1;2;Suburb;2014;2,73911E+15
2493;3;3;1;Urban;1963;3,31268E+16
1715;3;2;3;Suburb;1952;1,51618E+16
1975;2;1;1;Urban;1964;3,26989E+15
1818;2;1;1;Rural;1978;2,38879E+16
1103;5;1;3;Rural;2003;1,72499E+15
1741;5;1;2;Rural;1997;2,131E+16
1425;3;1;3;Rural;2014;2,47288E+15
2124;5;2;2;Suburb;1967;2,62665E+16
2564;4;1;2;Rural;1959;2,67048E+15
1638;3;1;3;Rural;2012;2,45276E+16
1849;4;3;2;Rural;1952;2,11859E+16
2545;5;2;3;Rural;1959;3,45358E+15
2129;4;1;3;Rural;2021;2,01764E+16
2702;3;1;3;Suburb;1992;2,71063E+16
1768;4;2;3;Rural;2005;1,84819E+15
2830;3;3;3;Rural;1988;3,31704E+15
1276;5;2;1;Rural;2010;2,05568E+15
2088;3;2;1;Suburb;1990;2,23525E+15
2806;5;3;2;Suburb;1962;3,57994E+16
1899;2;2;2;Rural;2006;2,19324E+15
1187;5;3;2;Rural;1953;7,94933E+15
2340;3;3;2;Urban;1983;3,04864E+16
2939;3;1;1;Suburb;1967;2,44811E+16
2161;2;1;1;Suburb;1971;1,30584E+15
2366;2;2;1;Urban;1990;2,25641E+16
1104;5;1;2;Urban;1971;8,36435E+15
1545;4;3;2;Rural;1990;2,03071E+16
1379;4;3;1;Rural;1959;1,94522E+15
1109;2;2;3;Urban;2011;1,6394E+16
2967;5;2;2;Suburb;1972;3,19814E+15
1544;2;1;2;Suburb;1952;1,35898E+16
1353;2;2;2;Rural;2020;1,2075E+16
1742;3;2;3;Suburb;2021;1,9073E+16
1316;3;2;1;Suburb;2010;1,65193E+16
2289;3;3;2;Urban;1993;3,0691E+16
2717;2;1;3;Rural;2014;2,06314E+16
2875;5;3;3;Suburb;2009;3,60897E+16
2088;4;3;2;Suburb;1974;2,50865E+16
1332;4;2;2;Rural;1975;2,63122E+15
2536;3;3;1;Suburb;1984;2,88705E+16
2156;5;1;1;Rural;1977;3,20687E+15
1591;3;1;2;Urban;1961;1,81647E+15
1782;5;1;2;Rural;1992;2,22715E+15
2776;5;3;3;Urban;1974;3,24604E+15
1539;5;3;1;Suburb;1978;1,89988E+16
1734;2;3;1;Urban;2003;2,05583E+16
2558;5;1;1;Suburb;2001;3,34738E+14
2519;2;1;3;Urban;1950;3,28639E+15
1620;4;1;2;Rural;1989;2,05155E+16
1618;4;3;2;Suburb;2000;2,3379E+14
2680;2;1;3;Suburb;1974;2,57217E+16
2392;4;1;1;Urban;1966;3,19585E+15
2889;4;2;1;Rural;1956;3,17673E+16
1908;3;3;2;Rural;2007;2,69284E+16
2933;2;3;2;Urban;2019;3,5878E+16
2674;2;1;1;Urban;2021;2,38097E+16
2819;2;2;1;Rural;1978;2,88741E+16
2833;3;2;2;Urban;1993;3,1775E+16
1991;2;1;3;Rural;2001;1,35833E+16
1098;4;2;3;Suburb;1980;6,1617E+16
1316;5;1;3;Suburb;1995;1,76768E+16
1122;3;3;2;Rural;2001;1,01624E+16
2343;3;2;1;Urban;1995;2,17374E+16
1798;2;2;2;Urban;1978;2,51527E+15
2616;5;2;2;Urban;2021;3,94069E+16
2518;5;1;3;Suburb;2018;2,88508E+15
1456;5;3;3;Suburb;2009;2,31472E+15
1521;4;2;2;Rural;1952;2,44185E+15
1519;5;3;3;Rural;2018;1,04767E+16
1916;2;3;2;Urban;2021;2,31349E+15
1716;4;2;3;Suburb;2001;2,65199E+15
1314;5;3;2;Rural;1986;2,19532E+15
2969;2;1;2;Urban;1967;3,3204E+15
1708;4;1;3;Rural;2020;1,69922E+16
1709;4;1;2;Suburb;1996;2,49101E+16
2565;5;3;3;Suburb;2021;2,95564E+16
2502;4;1;3;Suburb;1978;2,80641E+16
2936;3;2;1;Suburb;1967;2,25678E+15
2994;2;3;1;Rural;2018;3,59281E+15
2043;5;1;3;Urban;2010;1,97918E+16
1559;2;1;3;Suburb;2010;1,69073E+16
1968;2;1;1;Urban;1954;2,06907E+16
2153;3;1;3;Suburb;1990;2,74511E+16
2316;4;2;1;Rural;1974;2,01735E+15
2920;3;1;2;Suburb;2014;2,90199E+15
2155;3;2;2;Rural;1990;2,23215E+15
1355;4;3;1;Suburb;2000;1,03165E+16
2077;5;2;3;Suburb;1998;3,07708E+16
1889;2;1;3;Rural;1996;2,04352E+15
1792;5;1;2;Urban;1954;1,32013E+15
2410;5;3;2;Urban;1973;1,65296E+16
1264;3;2;1;Suburb;2019;1,68345E+16
1981;4;1;3;Suburb;2009;2,10716E+16
2238;4;2;1;Urban;1979;2,78698E+15
2483;2;1;2;Rural;1961;2,8081E+15
2481;4;3;2;Suburb;1964;2,43009E+15
1801;5;2;3;Rural;1963;1,41273E+16
1042;4;1;3;Urban;1957;1,84957E+15
2609;4;3;3;Suburb;1997;2,91369E+16
1861;5;1;1;Urban;1962;1,34687E+16
2301;2;1;3;Urban;1977;3,36545E+15
2861;2;3;3;Rural;1998;3,10353E+15
2777;5;2;1;Rural;1975;2,36608E+15
2153;4;2;3;Rural;2005;1,94691E+16
1349;4;3;3;Rural;1990;1,89688E+16
2729;2;3;1;Suburb;1989;2,23653E+16
2567;2;3;1;Suburb;1972;2,29939E+15
2129;2;3;2;Suburb;2010;2,02896E+16
1911;3;2;3;Rural;1964;2,1166E+16
2739;2;3;3;Urban;1950;3,18306E+16
1000;4;3;1;Suburb;1998;1,28903E+16
2780;2;2;3;Rural;2015;2,07845E+14
1583;4;1;3;Suburb;1999;2,3404E+16
1431;4;1;2;Suburb;1963;1,7351E+15
2329;4;2;2;Suburb;1975;1,88549E+16
2932;2;2;1;Rural;1952;3,61152E+16
2550;2;2;3;Suburb;1967;2,7765E+15
1052;5;2;1;Urban;1980;1,78154E+16
1939;2;3;3;Suburb;1983;2,00903E+16
1519;2;3;1;Rural;1991;1,12585E+16
2353;2;2;3;Rural;2018;2,11385E+16
2581;3;1;3;Suburb;2012;2,84464E+15
2348;2;1;1;Suburb;1981;2,23967E+15
2137;3;2;2;Urban;1976;2,05332E+16
1146;4;2;3;Urban;1952;2,68395E+16
2189;4;1;3;Urban;1950;1,8089E+16
2402;4;1;3;Rural;2017;2,26927E+16
